Date,date,CDID,Value,series
2005-09-15,2005 DEC,WUNE,.48,RestaurantsHotels
2005-10-15,2005 DEC,WUNG,.46,Misc
2005-11-15,2005 FEB,WUMA,.09,Food
2005-12-15,2005 FEB,WUMB,.13,AlcoholTobacco
2005-01-15,2005 FEB,WUMC,-.37,ClothingFootwear
2005-02-15,2005 FEB,WUMD,.6,HousingHouseService
2005-03-15,2005 FEB,WUMP,-.05,FurnitureHousehold
2005-04-15,2005 FEB,WUMQ,.06,Health
2005-05-15,2005 FEB,WUMW,.5,Transport
2005-06-15,2005 FEB,WUMX,-.07,Communication
2005-07-15,2005 FEB,WUNC,-.11,RecreationCulture
2005-08-15,2005 FEB,WUND,.08,Education
2005-09-15,2005 FEB,WUNE,.42,RestaurantsHotels
2005-10-15,2005 FEB,WUNG,.37,Misc
2005-11-15,2005 JAN,WUMA,.04,Food
2005-12-15,2005 JAN,WUMB,.11,AlcoholTobacco
2005-01-15,2005 JAN,WUMC,-.38,ClothingFootwear
2005-02-15,2005 JAN,WUMD,.6,HousingHouseService
2005-03-15,2005 JAN,WUMP,.01,FurnitureHousehold
2005-04-15,2005 JAN,WUMQ,.06,Health
2005-05-15,2005 JAN,WUMW,.43,Transport
2005-06-15,2005 JAN,WUMX,-.06,Communication
2005-07-15,2005 JAN,WUNC,-.06,RecreationCulture
2005-08-15,2005 JAN,WUND,.08,Education
2005-09-15,2005 JAN,WUNE,.4,RestaurantsHotels
2005-10-15,2005 JAN,WUNG,.39,Misc
2005-11-15,2005 JUL,WUMA,.18,Food
2005-12-15,2005 JUL,WUMB,.1,AlcoholTobacco
2005-01-15,2005 JUL,WUMC,-.32,ClothingFootwear
2005-02-15,2005 JUL,WUMD,.6899999999999999,HousingHouseService
2005-03-15,2005 JUL,WUMP,.08,FurnitureHousehold
2005-04-15,2005 JUL,WUMQ,.08,Health
2005-05-15,2005 JUL,WUMW,.7,Transport
2005-06-15,2005 JUL,WUMX,-.07,Communication
2005-07-15,2005 JUL,WUNC,-.23,RecreationCulture
2005-08-15,2005 JUL,WUND,.08,Education
2005-09-15,2005 JUL,WUNE,.48,RestaurantsHotels
2005-10-15,2005 JUL,WUNG,.5600000000000001,Misc
2005-11-15,2005 JUN,WUMA,.23,Food
2005-12-15,2005 JUN,WUMB,.11,AlcoholTobacco
2005-01-15,2005 JUN,WUMC,-.3,ClothingFootwear
2005-02-15,2005 JUN,WUMD,.66,HousingHouseService
2005-03-15,2005 JUN,WUMP,-.02,FurnitureHousehold
2005-04-15,2005 JUN,WUMQ,.06,Health
2005-05-15,2005 JUN,WUMW,.51,Transport
2005-06-15,2005 JUN,WUMX,-.08,Communication
2005-07-15,2005 JUN,WUNC,-.18,RecreationCulture
2005-08-15,2005 JUN,WUND,.08,Education
2005-09-15,2005 JUN,WUNE,.44,RestaurantsHotels
2005-10-15,2005 JUN,WUNG,.49,Misc
2005-11-15,2005 MAR,WUMA,.18,Food
2005-12-15,2005 MAR,WUMB,.1,AlcoholTobacco
2005-01-15,2005 MAR,WUMC,-.33,ClothingFootwear
2005-02-15,2005 MAR,WUMD,.6,HousingHouseService
2005-03-15,2005 MAR,WUMP,.03,FurnitureHousehold
2005-04-15,2005 MAR,WUMQ,.06,Health
2005-05-15,2005 MAR,WUMW,.61,Transport
2005-06-15,2005 MAR,WUMX,-.08,Communication
2005-07-15,2005 MAR,WUNC,-.11,RecreationCulture
2005-08-15,2005 MAR,WUND,.08,Education
2005-09-15,2005 MAR,WUNE,.39,RestaurantsHotels
2005-10-15,2005 MAR,WUNG,.39,Misc
2005-11-15,2005 MAY,WUMA,.15,Food
2005-12-15,2005 MAY,WUMB,.11,AlcoholTobacco
2005-01-15,2005 MAY,WUMC,-.35,ClothingFootwear
2005-02-15,2005 MAY,WUMD,.66,HousingHouseService
2005-03-15,2005 MAY,WUMP,-.05,FurnitureHousehold
2005-04-15,2005 MAY,WUMQ,.07,Health
2005-05-15,2005 MAY,WUMW,.51,Transport
2005-06-15,2005 MAY,WUMX,-.09,Communication
2005-07-15,2005 MAY,WUNC,-.08,RecreationCulture
2005-08-15,2005 MAY,WUND,.08,Education
2005-09-15,2005 MAY,WUNE,.46,RestaurantsHotels
2005-10-15,2005 MAY,WUNG,.46,Misc
2005-11-15,2005 NOV,WUMA,.18,Food
2005-12-15,2005 NOV,WUMB,.12,AlcoholTobacco
2005-01-15,2005 NOV,WUMC,-.33,ClothingFootwear
2005-02-15,2005 NOV,WUMD,.68,HousingHouseService
2005-03-15,2005 NOV,WUMP,.03,FurnitureHousehold
2005-04-15,2005 NOV,WUMQ,.07,Health
2005-05-15,2005 NOV,WUMW,.62,Transport
2005-06-15,2005 NOV,WUMX,-.03,Communication
2005-07-15,2005 NOV,WUNC,-.23,RecreationCulture
2005-08-15,2005 NOV,WUND,.08,Education
2005-09-15,2005 NOV,WUNE,.48,RestaurantsHotels
2005-10-15,2005 NOV,WUNG,.47,Misc
2005-11-15,2005 OCT,WUMA,.16,Food
2005-12-15,2005 OCT,WUMB,.09,AlcoholTobacco
2005-01-15,2005 OCT,WUMC,-.34,ClothingFootwear
2005-02-15,2005 OCT,WUMD,.68,HousingHouseService
2005-03-15,2005 OCT,WUMP,.03,FurnitureHousehold
2005-04-15,2005 OCT,WUMQ,.07,Health
2005-05-15,2005 OCT,WUMW,.87,Transport
2005-06-15,2005 OCT,WUMX,-.04,Communication
2005-07-15,2005 OCT,WUNC,-.23,RecreationCulture
2005-08-15,2005 OCT,WUND,.08,Education
2005-09-15,2005 OCT,WUNE,.52,RestaurantsHotels
2005-10-15,2005 OCT,WUNG,.46,Misc
2005-11-15,2005 SEP,WUMA,.2,Food
2005-12-15,2005 SEP,WUMB,.07,AlcoholTobacco
2005-01-15,2005 SEP,WUMC,-.34,ClothingFootwear
2005-02-15,2005 SEP,WUMD,.67,HousingHouseService
2005-03-15,2005 SEP,WUMP,.02,FurnitureHousehold
2005-04-15,2005 SEP,WUMQ,.07,Health
2005-05-15,2005 SEP,WUMW,.9,Transport
2005-06-15,2005 SEP,WUMX,-.03,Communication
2005-07-15,2005 SEP,WUNC,-.24,RecreationCulture
2005-08-15,2005 SEP,WUND,.08,Education
2005-09-15,2005 SEP,WUNE,.52,RestaurantsHotels
2005-10-15,2005 SEP,WUNG,.55,Misc
2006-11-15,2006 APR,WUMA,.04,Food
2006-12-15,2006 APR,WUMB,.11,AlcoholTobacco
2006-01-15,2006 APR,WUMC,-.29,ClothingFootwear
2006-02-15,2006 APR,WUMD,.8100000000000001,HousingHouseService
2006-03-15,2006 APR,WUMP,-.08,FurnitureHousehold
2006-04-15,2006 APR,WUMQ,.07,Health
2006-05-15,2006 APR,WUMW,.67,Transport
2006-06-15,2006 APR,WUMX,.01,Communication
2006-07-15,2006 APR,WUNC,-.24,RecreationCulture
2006-08-15,2006 APR,WUND,.08,Education
2006-09-15,2006 APR,WUNE,.41,RestaurantsHotels
2006-10-15,2006 APR,WUNG,.44,Misc
2006-11-15,2006 AUG,WUMA,.35,Food
2006-12-15,2006 AUG,WUMB,.14,AlcoholTobacco
2006-01-15,2006 AUG,WUMC,-.26,ClothingFootwear
2006-02-15,2006 AUG,WUMD,1.11,HousingHouseService
2006-03-15,2006 AUG,WUMP,-.06,FurnitureHousehold
2006-04-15,2006 AUG,WUMQ,.06,Health
2006-05-15,2006 AUG,WUMW,.39,Transport
2006-06-15,2006 AUG,WUMX,-.02,Communication
2006-07-15,2006 AUG,WUNC,-.14,RecreationCulture
2006-08-15,2006 AUG,WUND,.08,Education
2006-09-15,2006 AUG,WUNE,.41,RestaurantsHotels
2006-10-15,2006 AUG,WUNG,.41,Misc
2006-11-15,2006 DEC,WUMA,.47,Food
2006-12-15,2006 DEC,WUMB,.12,AlcoholTobacco
2006-01-15,2006 DEC,WUMC,-.27,ClothingFootwear
2006-02-15,2006 DEC,WUMD,1.22,HousingHouseService
2006-03-15,2006 DEC,WUMP,.06,FurnitureHousehold
2006-04-15,2006 DEC,WUMQ,.09,Health
2006-05-15,2006 DEC,WUMW,.32,Transport
2006-06-15,2006 DEC,WUMX,.01,Communication
2006-07-15,2006 DEC,WUNC,-.05,RecreationCulture
2006-08-15,2006 DEC,WUND,.24,Education
2006-09-15,2006 DEC,WUNE,.43,RestaurantsHotels
2006-10-15,2006 DEC,WUNG,.34,Misc
2006-11-15,2006 FEB,WUMA,.12,Food
2006-12-15,2006 FEB,WUMB,.07,AlcoholTobacco
2006-01-15,2006 FEB,WUMC,-.31,ClothingFootwear
2006-02-15,2006 FEB,WUMD,.67,HousingHouseService
2006-03-15,2006 FEB,WUMP,-.06,FurnitureHousehold
2006-04-15,2006 FEB,WUMQ,.06,Health
2006-05-15,2006 FEB,WUMW,.64,Transport
2006-06-15,2006 FEB,WUMX,.01,Communication
2006-07-15,2006 FEB,WUNC,-.12,RecreationCulture
2006-08-15,2006 FEB,WUND,.08,Education
2006-09-15,2006 FEB,WUNE,.49,RestaurantsHotels
2006-10-15,2006 FEB,WUNG,.4,Misc
2006-11-15,2006 JAN,WUMA,.13,Food
2006-12-15,2006 JAN,WUMB,.1,AlcoholTobacco
2006-01-15,2006 JAN,WUMC,-.31,ClothingFootwear
2006-02-15,2006 JAN,WUMD,.66,HousingHouseService
2006-03-15,2006 JAN,WUMP,-.08,FurnitureHousehold
2006-04-15,2006 JAN,WUMQ,.06,Health
2006-05-15,2006 JAN,WUMW,.75,Transport
2006-06-15,2006 JAN,WUMX,.01,Communication
2006-07-15,2006 JAN,WUNC,-.31,RecreationCulture
2006-08-15,2006 JAN,WUND,.08,Education
2006-09-15,2006 JAN,WUNE,.48,RestaurantsHotels
2006-10-15,2006 JAN,WUNG,.39,Misc
2006-11-15,2006 JUL,WUMA,.33,Food
2006-12-15,2006 JUL,WUMB,.12,AlcoholTobacco
2006-01-15,2006 JUL,WUMC,-.31,ClothingFootwear
2006-02-15,2006 JUL,WUMD,1.06,HousingHouseService
2006-03-15,2006 JUL,WUMP,-.12,FurnitureHousehold
2006-04-15,2006 JUL,WUMQ,.06,Health
2006-05-15,2006 JUL,WUMW,.53,Transport
2006-06-15,2006 JUL,WUMX,.01,Communication
2006-07-15,2006 JUL,WUNC,-.2,RecreationCulture
2006-08-15,2006 JUL,WUND,.08,Education
2006-09-15,2006 JUL,WUNE,.43,RestaurantsHotels
2006-10-15,2006 JUL,WUNG,.39,Misc
2006-11-15,2006 JUN,WUMA,.19,Food
2006-12-15,2006 JUN,WUMB,.14,AlcoholTobacco
2006-01-15,2006 JUN,WUMC,-.26,ClothingFootwear
2006-02-15,2006 JUN,WUMD,1.03,HousingHouseService
2006-03-15,2006 JUN,WUMP,-.02,FurnitureHousehold
2006-04-15,2006 JUN,WUMQ,.07,Health
2006-05-15,2006 JUN,WUMW,.59,Transport
2006-06-15,2006 JUN,WUMX,-.01,Communication
2006-07-15,2006 JUN,WUNC,-.24,RecreationCulture
2006-08-15,2006 JUN,WUND,.08,Education
2006-09-15,2006 JUN,WUNE,.44,RestaurantsHotels
2006-10-15,2006 JUN,WUNG,.47,Misc
2006-11-15,2006 MAR,WUMA,-.04,Food
2006-12-15,2006 MAR,WUMB,.11,AlcoholTobacco
2006-01-15,2006 MAR,WUMC,-.31,ClothingFootwear
2006-02-15,2006 MAR,WUMD,.73,HousingHouseService
2006-03-15,2006 MAR,WUMP,-.04,FurnitureHousehold
2006-04-15,2006 MAR,WUMQ,.05,Health
2006-05-15,2006 MAR,WUMW,.53,Transport
2006-06-15,2006 MAR,WUMX,.01,Communication
2006-07-15,2006 MAR,WUNC,-.2,RecreationCulture
2006-08-15,2006 MAR,WUND,.08,Education
2006-09-15,2006 MAR,WUNE,.49,RestaurantsHotels
2006-10-15,2006 MAR,WUNG,.4,Misc
2006-11-15,2006 MAY,WUMA,.12,Food
2006-12-15,2006 MAY,WUMB,.1,AlcoholTobacco
2006-01-15,2006 MAY,WUMC,-.24,ClothingFootwear
2006-02-15,2006 MAY,WUMD,.95,HousingHouseService
2006-03-15,2006 MAY,WUMP,-.07,FurnitureHousehold
2006-04-15,2006 MAY,WUMQ,.07,Health
2006-05-15,2006 MAY,WUMW,.6,Transport
2006-06-15,2006 MAY,WUMX,-.01,Communication
2006-07-15,2006 MAY,WUNC,-.23,RecreationCulture
2006-08-15,2006 MAY,WUND,.08,Education
2006-09-15,2006 MAY,WUNE,.44,RestaurantsHotels
2006-10-15,2006 MAY,WUNG,.44,Misc
2006-11-15,2006 NOV,WUMA,.51,Food
2006-12-15,2006 NOV,WUMB,.12,AlcoholTobacco
2006-01-15,2006 NOV,WUMC,-.21,ClothingFootwear
2006-02-15,2006 NOV,WUMD,1.19,HousingHouseService
2006-03-15,2006 NOV,WUMP,-.05,FurnitureHousehold
2006-04-15,2006 NOV,WUMQ,.07,Health
2006-05-15,2006 NOV,WUMW,.12,Transport
2006-06-15,2006 NOV,WUMX,.02,Communication
2006-07-15,2006 NOV,WUNC,-.11,RecreationCulture
2006-08-15,2006 NOV,WUND,.24,Education
2006-09-15,2006 NOV,WUNE,.43,RestaurantsHotels
2006-10-15,2006 NOV,WUNG,.37,Misc
2006-11-15,2006 OCT,WUMA,.48,Food
2006-12-15,2006 OCT,WUMB,.14,AlcoholTobacco
2006-01-15,2006 OCT,WUMC,-.21,ClothingFootwear
2006-02-15,2006 OCT,WUMD,1.15,HousingHouseService
2006-03-15,2006 OCT,WUMP,-.05,FurnitureHousehold
2006-04-15,2006 OCT,WUMQ,.07,Health
2006-05-15,2006 OCT,WUMW,-.07,Transport
2006-06-15,2006 OCT,WUMX,.02,Communication
2006-07-15,2006 OCT,WUNC,-.16,RecreationCulture
2006-08-15,2006 OCT,WUND,.24,Education
2006-09-15,2006 OCT,WUNE,.41,RestaurantsHotels
2006-10-15,2006 OCT,WUNG,.4,Misc
2006-11-15,2006 SEP,WUMA,.4,Food
2006-12-15,2006 SEP,WUMB,.15,AlcoholTobacco
2006-01-15,2006 SEP,WUMC,-.23,ClothingFootwear
2006-02-15,2006 SEP,WUMD,1.13,HousingHouseService
2006-03-15,2006 SEP,WUMP,.02,FurnitureHousehold
2006-04-15,2006 SEP,WUMQ,.07,Health
2006-05-15,2006 SEP,WUMW,.11,Transport
2006-06-15,2006 SEP,WUMX,0,Communication
2006-07-15,2006 SEP,WUNC,-.15,RecreationCulture
2006-08-15,2006 SEP,WUND,.12,Education
2006-09-15,2006 SEP,WUNE,.39,RestaurantsHotels
2006-10-15,2006 SEP,WUNG,.42,Misc
2007-11-15,2007 APR,WUMA,.61,Food
2007-12-15,2007 APR,WUMB,.2,AlcoholTobacco
2007-01-15,2007 APR,WUMC,-.18,ClothingFootwear
2007-02-15,2007 APR,WUMD,.87,HousingHouseService
2007-03-15,2007 APR,WUMP,.19,FurnitureHousehold
2007-04-15,2007 APR,WUMQ,.08,Health
2007-05-15,2007 APR,WUMW,.23,Transport
2007-06-15,2007 APR,WUMX,-.09,Communication
2007-07-15,2007 APR,WUNC,-.13,RecreationCulture
2007-08-15,2007 APR,WUND,.24,Education
2007-09-15,2007 APR,WUNE,.51,RestaurantsHotels
2007-10-15,2007 APR,WUNG,.25,Misc
2007-11-15,2007 AUG,WUMA,.3,Food
2007-12-15,2007 AUG,WUMB,.14,AlcoholTobacco
2007-01-15,2007 AUG,WUMC,-.22,ClothingFootwear
2007-02-15,2007 AUG,WUMD,.31,HousingHouseService
2007-03-15,2007 AUG,WUMP,.11,FurnitureHousehold
2007-04-15,2007 AUG,WUMQ,.08,Health
2007-05-15,2007 AUG,WUMW,.42,Transport
2007-06-15,2007 AUG,WUMX,-.05,Communication
2007-07-15,2007 AUG,WUNC,-.15,RecreationCulture
2007-08-15,2007 AUG,WUND,.23,Education
2007-09-15,2007 AUG,WUNE,.49,RestaurantsHotels
2007-10-15,2007 AUG,WUNG,.11,Misc
2007-11-15,2007 DEC,WUMA,.5600000000000001,Food
2007-12-15,2007 DEC,WUMB,.11,AlcoholTobacco
2007-01-15,2007 DEC,WUMC,-.24,ClothingFootwear
2007-02-15,2007 DEC,WUMD,.02,HousingHouseService
2007-03-15,2007 DEC,WUMP,.08,FurnitureHousehold
2007-04-15,2007 DEC,WUMQ,.08,Health
2007-05-15,2007 DEC,WUMW,.88,Transport
2007-06-15,2007 DEC,WUMX,-.09,Communication
