Date,date,AUSS,id,USDGBP,frequency
Impo--15,Important notes,,8,,
1966-9-15,1966 SEP,,433,,monthly
1966-10-15,1966 OCT,,434,,monthly
1966-11-15,1966 NOV,,435,,monthly
1966-12-15,1966 DEC,,436,,monthly
1967-1-15,1967 JAN,,437,,monthly
1967-2-15,1967 FEB,,438,,monthly
1967-3-15,1967 MAR,,439,,monthly
1967-4-15,1967 APR,,440,,monthly
1967-5-15,1967 MAY,,441,,monthly
1967-6-15,1967 JUN,,442,,monthly
1967-7-15,1967 JUL,,443,,monthly
1967-8-15,1967 AUG,,444,,monthly
1967-9-15,1967 SEP,,445,,monthly
1967-10-15,1967 OCT,,446,,monthly
1967-11-15,1967 NOV,,447,,monthly
1967-12-15,1967 DEC,,448,,monthly
1968-1-15,1968 JAN,,449,,monthly
1968-2-15,1968 FEB,,450,,monthly
1968-3-15,1968 MAR,,451,,monthly
1968-4-15,1968 APR,,452,,monthly
1968-5-15,1968 MAY,,453,,monthly
1968-6-15,1968 JUN,,454,,monthly
1968-7-15,1968 JUL,,455,,monthly
1968-8-15,1968 AUG,,456,,monthly
1968-9-15,1968 SEP,,457,,monthly
1968-10-15,1968 OCT,,458,,monthly
1968-11-15,1968 NOV,,459,,monthly
1968-12-15,1968 DEC,,460,,monthly
1969-1-15,1969 JAN,,461,,monthly
1969-2-15,1969 FEB,,462,,monthly
1969-3-15,1969 MAR,,463,,monthly
1969-4-15,1969 APR,,464,,monthly
1969-5-15,1969 MAY,,465,,monthly
1969-6-15,1969 JUN,,466,,monthly
1969-7-15,1969 JUL,,467,,monthly
1969-8-15,1969 AUG,,468,,monthly
1969-9-15,1969 SEP,,469,,monthly
1969-10-15,1969 OCT,,470,,monthly
1969-11-15,1969 NOV,,471,,monthly
1969-12-15,1969 DEC,,472,,monthly
1970-1-15,1970 JAN,,473,,monthly
1970-2-15,1970 FEB,,474,,monthly
1970-3-15,1970 MAR,,475,,monthly
1970-4-15,1970 APR,,476,,monthly
1970-5-15,1970 MAY,,477,,monthly
1970-6-15,1970 JUN,,478,,monthly
1970-7-15,1970 JUL,,479,,monthly
1970-8-15,1970 AUG,,480,,monthly
1970-9-15,1970 SEP,,481,,monthly
1970-10-15,1970 OCT,,482,,monthly
1970-11-15,1970 NOV,,483,,monthly
1970-12-15,1970 DEC,,484,,monthly
1971-1-15,1971 JAN,,485,,monthly
1971-2-15,1971 FEB,,486,,monthly
1971-3-15,1971 MAR,,487,,monthly
1971-4-15,1971 APR,,488,,monthly
1971-5-15,1971 MAY,,489,,monthly
1971-6-15,1971 JUN,,490,,monthly
1971-7-15,1971 JUL,,491,,monthly
1971-8-15,1971 AUG,,492,,monthly
1971-9-15,1971 SEP,,493,,monthly
1971-10-15,1971 OCT,,494,,monthly
1971-11-15,1971 NOV,,495,,monthly
1971-12-15,1971 DEC,,496,,monthly
1972-1-15,1972 JAN,,497,,monthly
1972-2-15,1972 FEB,,498,,monthly
1972-3-15,1972 MAR,,499,,monthly
1972-4-15,1972 APR,,500,,monthly
1972-5-15,1972 MAY,,501,,monthly
1972-6-15,1972 JUN,,502,,monthly
1972-7-15,1972 JUL,,503,,monthly
1972-8-15,1972 AUG,,504,,monthly
1972-9-15,1972 SEP,,505,,monthly
